attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
surrogate_pgd,0.02,protocol,bluetooth,25000,12.99932,13.0,13.0,139183.26837932912,141433.39214940378,141433.46341555027,139054.148249375,141302.5,141302.5625,1.2488518214784134,1.1674727611332423,1.5844572428161587,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_pgd,0.02,protocol,mqtt,25000,20.13696,21.0,21.0,1135271.6010504565,1129231.9089690014,1129232.4630269909,1133717.8352849248,1129200.0,1129200.0,0.12162651982655996,0.02354925144765114,0.13235185158138746,0.09011723082981622,0.010140368921048824,0.11533341193064758,0,0,0,0.0
surrogate_pgd,0.02,protocol,wifi,25000,17.01792,17.0,20.0,449492.1610104244,451268.71343447024,451270.05521935615,448912.66681773576,451168.0,451168.0,0.041655264252972536,0.023491007889048694,0.023735124184034687,0.030840939083580828,0.016990977709266802,0.016990977709266802,0,0,0,0.0
surrogate_pgd,0.05,global,,75000,16.718066666666665,17.0,21.0,1420849.2892825366,1128171.7401610133,2823073.062348659,1419450.019567866,1127920.0,2822992.0,0.49182019048768677,0.05897848622716677,1.584301928818638,0.38143855157368506,0.04247746381547063,1.0,0,0,0,0.0
surrogate_pgd,0.05,protocol,bluetooth,25000,12.99932,13.0,13.0,341649.7646445598,353583.5277920256,353583.68055685837,341333.72484375,353256.34375,353256.5,1.2495130618680903,1.1681741282549454,1.5849635888972498,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_pgd,0.05,protocol,mqtt,25000,20.13696,21.0,21.0,2802443.4939589924,2823071.768944229,2823073.0696602412,2799206.052689378,2822992.0,2822992.0,0.15341502333707926,0.057264464228169776,0.14156843587337342,0.10424566208838981,0.025350922211482146,0.11533341193064758,0,0,0,0.0
surrogate_pgd,0.05,protocol,wifi,25000,17.01792,17.0,20.0,1118454.6092440572,1128171.742796196,1128175.1380483888,1117810.2811704702,1127920.0,1127920.0,0.07253248625789094,0.058716839914495736,0.059327526355815646,0.05072935133110937,0.04247746381547063,0.04247746381547063,0,0,0,0.0
surrogate_pgd,0.1,global,,75000,16.718066666666665,17.0,21.0,2826829.408791518,2256343.4725469192,5646146.121027075,2825096.2509340122,2255840.0,5645984.0,0.5264825296602208,0.11582307169681755,1.5857117356962205,0.4000990261208863,0.08196636222363274,1.0,0,0,0,0.0
surrogate_pgd,0.1,protocol,bluetooth,25000,12.99932,13.0,13.0,662601.6555565291,707167.0343036657,707167.0967458353,661990.32670375,706512.6875,706512.75,1.2519039716563343,1.1707329773664548,1.5867997000589604,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_pgd,0.1,protocol,mqtt,25000,20.13696,21.0,21.0,5584043.606238656,5646143.536768671,5646146.122785165,5580427.878582425,5645984.0,5645984.0,0.2040282202815986,0.10980980822350819,0.16826324808684084,0.12792857517813147,0.05070184424068446,0.11533341193064758,0,0,0,0.0
