iter	Passed	Remaining
1335	24392	2994
1336	24410	2976
1337	24427	2957
1338	24443	2939
1339	24459	2920
1340	24481	2902
1341	24499	2884
1342	24515	2865
1343	24532	2847
1344	24548	2829
1345	24570	2811
1346	24588	2792
1347	24605	2774
1348	24620	2755
1349	24637	2737
1350	24654	2719
1351	24670	2700
1352	24686	2682
1353	24702	2663
1354	24719	2645
1355	24736	2626
1356	24754	2608
1357	24769	2590
1358	24786	2571
1359	24802	2553
1360	24824	2535
1361	24842	2517
1362	24859	2498
1363	24878	2480
1364	24897	2462
1365	24917	2444
1366	24933	2425
1367	24951	2407
1368	24970	2389
1369	24988	2371
1370	25013	2353
1371	25028	2335
1372	25047	2316
1373	25064	2298
1374	25082	2280
1375	25099	2261
1376	25124	2244
1377	25141	2225
1378	25159	2207
1379	25177	2189
1380	25195	2171
1381	25212	2152
1382	25228	2134
1383	25244	2115
1384	25260	2097
1385	25279	2079
1386	25295	2060
1387	25311	2042
1388	25327	2024
1389	25345	2005
1390	25366	1987
1391	25382	1969
1392	25400	1951
1393	25421	1933
1394	25440	1914
1395	25460	1896
1396	25479	1878
1397	25498	1860
1398	25515	1842
1399	25533	1823
1400	25550	1805
1401	25567	1787
1402	25584	1768
1403	25601	1750
1404	25618	1732
1405	25636	1713
1406	25651	1695
1407	25668	1677
1408	25684	1658
1409	25705	1640
1410	25722	1622
1411	25739	1604
1412	25756	1585
1413	25774	1567
1414	25792	1549
1415	25813	1531
1416	25829	1512
1417	25846	1494
1418	25863	1476
1419	25880	1458
1420	25899	1439
1421	25914	1421
1422	25930	1403
1423	25955	1385
1424	25971	1366
1425	25996	1349
1426	26012	1330
1427	26029	1312
1428	26049	1294
1429	26070	1276
1430	26089	1257
1431	26105	1239
1432	26123	1221
1433	26142	1203
1434	26162	1185
1435	26180	1166
1436	26200	1148
1437	26218	1130
1438	26234	1112
1439	26250	1093
1440	26272	1075
1441	26290	1057
1442	26306	1039
1443	26327	1020
1444	26345	1002
1445	26363	984
1446	26379	966
1447	26395	947
1448	26412	929
1449	26428	911
1450	26445	893
1451	26463	874
1452	26484	856
1453	26500	838
1454	26517	820
1455	26538	801
1456	26554	783
1457	26571	765
1458	26592	747
1459	26609	729
1460	26629	710
1461	26645	692
1462	26663	674
1463	26682	656
1464	26703	637
1465	26723	619
1466	26740	601
1467	26755	583
1468	26771	564
1469	26789	546
1470	26808	528
1471	26824	510
1472	26841	492
1473	26861	473
1474	26879	455
1475	26900	437
1476	26916	419
1477	26935	400
1478	26954	382
1479	26971	364
1480	26993	346
1481	27010	328
1482	27026	309
1483	27047	291
1484	27071	273
1485	27088	255
1486	27106	236
1487	27123	218
1488	27140	200
1489	27159	182
1490	27177	164
1491	27192	145
1492	27209	127
1493	27225	109
1494	27241	91
1495	27261	72
1496	27277	54
1497	27294	36
1498	27312	18
1499	27329	0
